Geography,year,variable_name,variable,estimate,moe
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,9674,274
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,8485,826
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!60 and 61 years,B01001_018,2078,415
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!62 to 64 years,B01001_019,3833,735
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!65 and 66 years,B01001_020,2440,563
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!67 to 69 years,B01001_021,2472,565
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!70 to 74 years,B01001_022,2961,454
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!75 to 79 years,B01001_023,2393,483
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!80 to 84 years,B01001_024,2173,534
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!85 years and over,B01001_025,1161,420
"Gloucester County, New Jersey",2006,Estimate!!Total!!Female,B01001_026,144473,586
"Gloucester County, New Jersey",2006,Estimate!!Total!!Female!!Under 5 years,B01001_027,7834,353
"Gloucester County, New Jersey",2006,Estimate!!Total!!Female!!5 to 9 years,B01001_028,9061,1008
"Gloucester County, New Jersey",2006,Estimate!!Total!!Female!!10 to 14 years,B01001_029,9001,979
"Hudson County, New Jersey",2006,Estimate!!Total,B01001_001,601146,0
"Hudson County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,298253,427
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,21089,0
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,17408,1686
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,19366,1686
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,11698,427
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,7334,305
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,4376,1340
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,3182,1017
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,13115,1523
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,24609,0
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,29556,0
